"Group","Mouse","Tumor","ID","Day","Volume","death","last_day_obs","sac_day"
"JQ1+ XRT","954","L","954:L",6,641.045483773333,0,35,NA
"JQ1+ XRT","999","R","999:R",6,20.6986293233333,0,35,NA
"JQ1+ XRT","999","L","999:L",6,508.537215303333,0,35,NA
"JQ1+ XRT","847","R","847:R",6,0,0,19,22
"JQ1+ XRT","847","L","847:L",6,0,1,19,22
"JQ1+ XRT","848","R","848:R",6,2044.49969328,1,19,22
"JQ1+ XRT","848","L","848:L",6,103.842774626667,0,19,22
"JQ1+ XRT","996","R","996:R",6,468.03383825,0,35,NA
"JQ1+ XRT","996","L","996:L",6,31.35976404,0,35,NA
"JQ1+ XRT","967","R","967:R",6,384.74852064,0,35,NA
"JQ1+ XRT","967","L","967:L",6,165.090262333333,0,35,NA
"JQ1","970","R","970:R",9,437.4316416,0,35,NA
"JQ1","970","L","970:L",9,418.59376581,0,35,NA
"JQ1","935","R","935:R",9,484.90120704,0,35,NA
"JQ1","935","L","935:L",9,767.58058153,0,35,NA
"JQ1","934 (dead)","R","934 (dead):R",9,NA,0,3,6
"JQ1","934 (dead)","L","934 (dead):L",9,NA,1,3,6
"JQ1","977","R","977:R",9,2789.40465229333,0,19,22
"JQ1","977","L","977:L",9,77.95241226,1,19,22
"JQ1","961","R","961:R",9,37.7538946666667,0,35,NA
"JQ1","961","L","961:L",9,378.543694333333,0,35,NA
"JQ1","936","R","936:R",9,977.81699247,1,19,22
"JQ1","936","L","936:L",9,999.108080656667,0,19,22
"JQ1","971","R","971:R",9,198.11176252,0,35,NA
"JQ1","971","L","971:L",9,677.486727083333,0,35,NA
"JQ1","952","R","952:R",9,3587.65310619,1,19,22
"JQ1","952","L","952:L",9,1652.7738069,0,19,22
"JQ1","958","R","958:R",9,318.21528358,0,35,NA
"JQ1","958","L","958:L",9,721.274919366666,0,35,NA
"JQ1+ XRT","991","R","991:R",9,19.14330045,0,35,NA
"JQ1+ XRT","991","L","991:L",9,365.624970266667,0,35,NA
"JQ1+ XRT","965","R","965:R",9,802.793382526667,0,35,NA
"JQ1+ XRT","965","L","965:L",9,583.65807552,0,35,NA
"JQ1+ XRT","956","R","956:R",9,179.808489,0,35,NA
"JQ1+ XRT","956","L","956:L",9,644.3063811,0,35,NA
"JQ1+ XRT","972(no tag)","R","972(no tag):R",9,1076.77326141667,0,35,NA
"JQ1+ XRT","972(no tag)","L","972(no tag):L",9,369.734297163333,0,35,NA
"JQ1+ XRT","954","R","954:R",9,197.20625403,0,35,NA
"JQ1+ XRT","954","L","954:L",9,441.254053613333,0,35,NA
"JQ1+ XRT","999","R","999:R",9,21.892865,0,35,NA
"JQ1+ XRT","999","L","999:L",9,666.512728,0,35,NA
"JQ1+ XRT","847","R","847:R",9,1165.27828266667,0,19,22
"JQ1+ XRT","847","L","847:L",9,477.5810475,1,19,22
"JQ1+ XRT","848","R","848:R",9,148.009653003333,1,19,22
"JQ1+ XRT","848","L","848:L",9,2183.13913150667,0,19,22
"JQ1+ XRT","996","R","996:R",9,47.11256,0,35,NA
"JQ1+ XRT","996","L","996:L",9,359.90348416,0,35,NA
"JQ1+ XRT","967","R","967:R",9,236.040467266667,0,35,NA
"JQ1+ XRT","967","L","967:L",9,345.32911764,0,35,NA
"JQ1","970","R","970:R",12,596.051508986667,0,35,NA
