"Group","Mouse","Tumor","ID","Day","Volume","death","last_day_obs","sac_day","Baseline","Drug1","Drug2"
"XRT","979","L","979:L",9,816.089906683333,0,35,NA,224.557058133333,0,1
"XRT","998","R","998:R",9,620.942600893334,0,35,NA,800.514922643333,0,1
"XRT","998","L","998:L",9,762.43102863,0,35,NA,622.253813083333,0,1
"XRT","974","R","974:R",9,577.73122661,0,35,NA,244.11010608,0,1
"XRT","974","L","974:L",9,689.926661333333,0,35,NA,865.29655728,0,1
"XRT","968","R","968:R",9,225.986965986667,0,35,NA,70.5191666666667,0,1
"XRT","968","L","968:L",9,780.049685333333,0,35,NA,1512.72824004,0,1
"XRT","997","R","997:R",9,614.801473673333,0,35,NA,468.35549985,0,1
"XRT","997","L","997:L",9,830.177064,0,35,NA,748.341703666667,0,1
"XRT","969","R","969:R",9,490.001136426667,1,19,22,251.632692,0,1
"XRT","969","L","969:L",9,1208.81986092,0,19,22,897.232297276666,0,1
"JQ1+ XRT","991","R","991:R",9,19.14330045,0,35,NA,31.82705256,1,1
"JQ1+ XRT","991","L","991:L",9,365.624970266667,0,35,NA,147.9949824,1,1
"JQ1+ XRT","965","R","965:R",9,802.793382526667,0,35,NA,686.60025,1,1
"JQ1+ XRT","965","L","965:L",9,583.65807552,0,35,NA,254.7875442,1,1
"JQ1+ XRT","956","R","956:R",9,179.808489,0,35,NA,447.55510365,1,1
"JQ1+ XRT","956","L","956:L",9,644.3063811,0,35,NA,104.202697126667,1,1
"JQ1+ XRT","972(no tag)","R","972(no tag):R",9,1076.77326141667,0,35,NA,533.88599832,1,1
"JQ1+ XRT","972(no tag)","L","972(no tag):L",9,369.734297163333,0,35,NA,645.350384,1,1
"JQ1+ XRT","954","R","954:R",9,197.20625403,0,35,NA,244.669696993333,1,1
"JQ1+ XRT","954","L","954:L",9,441.254053613333,0,35,NA,896.898580693333,1,1
"JQ1+ XRT","999","R","999:R",9,21.892865,0,35,NA,50.34590592,1,1
"JQ1+ XRT","999","L","999:L",9,666.512728,0,35,NA,1422.1688,1,1
"JQ1+ XRT","847","R","847:R",9,1165.27828266667,0,19,22,1020.6803145,1,1
"JQ1+ XRT","847","L","847:L",9,477.5810475,1,19,22,418.626876586667,1,1
"JQ1+ XRT","848","R","848:R",9,148.009653003333,1,19,22,105.65027376,1,1
"JQ1+ XRT","848","L","848:L",9,2183.13913150667,0,19,22,1559.76859050667,1,1
"JQ1+ XRT","996","R","996:R",9,47.11256,0,35,NA,39.4867643733333,1,1
"JQ1+ XRT","996","L","996:L",9,359.90348416,0,35,NA,239.263511893333,1,1
"JQ1+ XRT","967","R","967:R",9,236.040467266667,0,35,NA,152.70590556,1,1
"JQ1+ XRT","967","L","967:L",9,345.32911764,0,35,NA,380.094404266667,1,1
"Vehicle","980","R","980:R",12,1281.320018,0,35,NA,107.45865,0,0
"Vehicle","980","L","980:L",12,152.955215803333,0,35,NA,479.575978466667,0,0
"Vehicle","973","R","973:R",12,378.682368246667,0,35,NA,457.92251544,0,0
"Vehicle","973","L","973:L",12,634.38396069,0,35,NA,157.817708333333,0,0
"Vehicle","955","R","955:R",12,2798.04093812333,1,19,22,128.680331626667,0,0
"Vehicle","955","L","955:L",12,338.21628288,0,19,22,1674.53775292,0,0
"Vehicle","992","R","992:R",12,1041.236874,0,35,NA,59.49570264,0,0
"Vehicle","992","L","992:L",12,241.99776528,0,35,NA,112.06776808,0,0
"Vehicle","982","R","982:R",12,221.57551614,0,35,NA,154.981203463333,0,0
"Vehicle","982","L","982:L",12,364.750392346667,0,35,NA,147.801841,0,0
"Vehicle","951","R","951:R",12,691.162853166667,0,19,22,348.738657333333,0,0
"Vehicle","951","L","951:L",12,1272.27244293333,1,19,22,127.43078328,0,0
"Vehicle","953","R","953:R",12,1000.85574552,0,35,NA,1061.36940266667,0,0
"Vehicle","953","L","953:L",12,927.14790048,0,35,NA,649.117732973333,0,0
"Vehicle","966","R","966:R",12,1544.01976141333,1,19,22,352.018858333333,0,0
"Vehicle","966","L","966:L",12,887.63710464,0,19,22,703.64494872,0,0
"Vehicle","986","R","986:R",12,867.78517056,0,35,NA,152.70590556,0,0
"Vehicle","986","L","986:L",12,405.526581496667,0,35,NA,380.094404266667,0,0
"JQ1","970","R","970:R",12,596.051508986667,0,35,NA,86.407776,1,0
"JQ1","970","L","970:L",12,1343.949516,0,35,NA,168.77957184,1,0
"JQ1","935","R","935:R",12,553.016358306667,0,35,NA,341.963113,1,0
"JQ1","935","L","935:L",12,671.317338816667,0,35,NA,190.972599906667,1,0
"JQ1","934 (dead)","R","934 (dead):R",12,NA,0,3,6,281.946570186667,1,0
"JQ1","934 (dead)","L","934 (dead):L",12,NA,1,3,6,746.931628053333,1,0
"JQ1","977","R","977:R",12,127.164483543333,0,19,22,458.270266253333,1,0
"JQ1","977","L","977:L",12,2909.68215552,1,19,22,53.9234753866667,1,0
"JQ1","961","R","961:R",12,407.97710239,0,35,NA,63.82340136,1,0
"JQ1","961","L","961:L",12,56.1650544,0,35,NA,749.15541792,1,0
"JQ1","936","R","936:R",12,1080.60856784,1,19,22,617.455814583333,1,0
"JQ1","936","L","936:L",12,923.9136,0,19,22,989.36038136,1,0
"JQ1","971","R","971:R",12,755.76725469,0,35,NA,105.65027376,1,0
"JQ1","971","L","971:L",12,241.513832666667,0,35,NA,1559.76859050667,1,0
"JQ1","952","R","952:R",12,2133.89777710667,1,19,22,1761.34583025,1,0
"JQ1","952","L","952:L",12,3063.60266175,0,19,22,864.85112316,1,0
"JQ1","958","R","958:R",12,899.303522916667,0,35,NA,107.9689,1,0
"JQ1","958","L","958:L",12,394.42941225,0,35,NA,267.21445059,1,0
"XRT","837","R","837:R",12,311.3241705,0,19,22,1131.9072,0,1
"XRT","837","L","837:L",12,1264.47588364,1,19,22,222.129984666667,0,1
"XRT","976","R","976:R",12,484.35366483,0,35,NA,89.6208333333333,0,1
