"Group","Mouse","Tumor","ID","Day","Volume","death","last_day_obs","sac_day"
"JQ1","934 (dead)","L","934 (dead):L",35,NA,1,3,6
"JQ1","977","L","977:L",35,NA,1,19,22
"JQ1","961","L","961:L",35,280.497037333333,0,35,NA
"JQ1","936","L","936:L",35,NA,1,19,22
"JQ1","971","L","971:L",35,2160.86039033667,0,35,NA
"JQ1","952","L","952:L",35,NA,1,19,22
"JQ1","958","L","958:L",35,1088.27149449,0,35,NA
"JQ1+ XRT","991","L","991:L",35,24.39337888,0,35,NA
"JQ1+ XRT","965","L","965:L",35,210.59155279,0,35,NA
"JQ1+ XRT","956","L","956:L",35,234.45168588,0,35,NA
"JQ1+ XRT","972(no tag)","L","972(no tag):L",35,75.51885888,0,35,NA
"JQ1+ XRT","954","L","954:L",35,83.8358543333333,0,35,NA
"JQ1+ XRT","999","L","999:L",35,40.4840634366667,0,35,NA
"JQ1+ XRT","847","L","847:L",35,NA,1,19,22
"JQ1+ XRT","848","L","848:L",35,NA,1,19,22
"JQ1+ XRT","996","L","996:L",35,21.3646662366667,0,35,NA
"JQ1+ XRT","967","L","967:L",35,59.7649681066667,0,35,NA
